<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2023.02.10	08:00:00	1860.09	1872.23	1857.63	1864.18	33815	0	5
2023.02.10	12:00:00	1864.15	1868.67	1860.45	1867.01	27314	0	6
2023.02.10	16:00:00	1867.02	1868.53	1856.44	1861.73	39332	0	6
2023.02.10	20:00:00	1861.73	1865.72	1861.18	1865.35	13668	0	6
2023.02.13	00:00:00	1864.68	1865.18	1858.12	1861.47	10009	0	6
2023.02.13	04:00:00	1861.47	1862.48	1857.06	1859.66	11714	0	4
2023.02.13	08:00:00	1859.67	1866.58	1854.69	1857.15	20467	0	5
2023.02.13	12:00:00	1857.12	1863.08	1853.92	1856.90	21719	0	6
2023.02.13	16:00:00	1856.90	1859.36	1850.67	1851.55	31112	0	5
2023.02.13	20:00:00	1851.58	1855.73	1850.47	1853.41	13383	0	0
2023.02.14	00:00:00	1853.67	1856.68	1853.29	1856.61	7775	0	0
2023.02.14	04:00:00	1856.59	1859.41	1855.64	1859.35	9042	0	2
2023.02.14	08:00:00	1859.35	1864.95	1857.88	1862.59	18360	0	4
2023.02.14	12:00:00	1862.61	1870.66	1850.40	1862.39	31319	0	3
2023.02.14	16:00:00	1862.49	1866.30	1843.29	1849.81	61082	0	5
2023.02.14	20:00:00	1849.79	1858.83	1849.59	1854.36	18469	0	0
2023.02.15	00:00:00	1853.97	1859.33	1853.47	1858.97	8517	0	5
2023.02.15	04:00:00	1859.04	1860.11	1845.24	1846.36	13764	0	1
2023.02.15	08:00:00	1846.39	1846.60	1831.84	1835.83	27016	0	3
2023.02.15	12:00:00	1835.82	1838.94	1831.83	1834.73	26666	0	4
2023.02.15	16:00:00	1834.75	1838.73	1830.45	1834.93	39604	0	6
2023.02.15	20:00:00	1834.90	1838.54	1833.71	1835.85	14749	0	4
2023.02.16	00:00:00	1836.32	1842.26	1834.49	1841.34	10875	0	2
2023.02.16	04:00:00	1841.37	1842.61	1835.36	1836.99	12958	0	0
