<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2023.02.10	08:00:00	1860.09	1861.68	1859.79	1860.25	1294	0	6
2023.02.10	08:15:00	1860.25	1860.88	1858.45	1859.57	1310	0	5
2023.02.10	08:30:00	1859.58	1859.72	1857.84	1858.42	822	0	5
2023.02.10	08:45:00	1858.41	1859.52	1858.10	1859.37	830	0	6
2023.02.10	09:00:00	1859.42	1862.27	1857.63	1861.90	1593	0	5
2023.02.10	09:15:00	1861.90	1862.02	1858.37	1860.67	3313	0	6
2023.02.10	09:30:00	1860.67	1864.28	1860.29	1863.92	1952	0	6
2023.02.10	09:45:00	1863.92	1867.01	1863.26	1866.20	2610	0	5
2023.02.10	10:00:00	1866.30	1871.30	1865.89	1871.00	3301	0	5
2023.02.10	10:15:00	1871.01	1872.23	1868.42	1870.30	2487	0	5
2023.02.10	10:30:00	1870.30	1870.76	1867.20	1868.79	2317	0	5
2023.02.10	10:45:00	1868.79	1869.77	1867.54	1867.76	1764	0	7
2023.02.10	11:00:00	1867.76	1870.02	1867.46	1867.46	1935	0	6
2023.02.10	11:15:00	1867.46	1867.48	1861.39	1862.56	3821	0	6
2023.02.10	11:30:00	1862.54	1864.73	1862.16	1864.14	2306	0	5
2023.02.10	11:45:00	1864.14	1864.99	1862.79	1864.18	2160	0	7
2023.02.10	12:00:00	1864.15	1864.79	1860.45	1861.27	1866	0	7
2023.02.10	12:15:00	1861.26	1864.21	1861.26	1864.00	1757	0	6
2023.02.10	12:30:00	1863.99	1864.30	1863.19	1863.83	1225	0	7
2023.02.10	12:45:00	1863.83	1865.02	1862.79	1863.02	1242	0	8
2023.02.10	13:00:00	1863.00	1863.94	1860.75	1861.30	1443	0	6
2023.02.10	13:15:00	1861.27	1863.04	1861.13	1861.98	1395	0	7
2023.02.10	13:30:00	1861.97	1863.82	1861.83	1863.41	1269	0	7
2023.02.10	13:45:00	1863.41	1864.97	1862.45	1864.81	1367	0	7
2023.02.10	14:00:00	1864.81	1865.19	1862.69	1863.18	1471	0	7
2023.02.10	14:15:00	1863.17	1864.67	1862.99	1864.37	1136	0	7
2023.02.10	14:30:00	1864.35	1865.14	1863.47	1865.08	1132	0	7
2023.02.10	14:45:00	1865.08	1865.31	1863.37	1863.95	1333	0	7
2023.02.10	15:00:00	1864.01	1864.46	1861.98	1864.23	2212	0	8
2023.02.10	15:15:00	1864.21	1864.91	1861.77	1864.55	2450	0	8
2023.02.10	15:30:00	1864.52	1864.55	1861.80	1864.19	2952	0	7
2023.02.10	15:45:00	1864.20	1868.67	1863.36	1867.01	3064	0	7
2023.02.10	16:00:00	1867.02	1868.27	1865.98	1866.61	2214	0	7
2023.02.10	16:15:00	1866.61	1868.53	1866.33	1867.20	2074	0	7
2023.02.10	16:30:00	1867.20	1867.75	1861.84	1864.49	3529	0	8
2023.02.10	16:45:00	1864.50	1867.28	1860.21	1861.59	3283	0	7
2023.02.10	17:00:00	1861.61	1866.03	1859.07	1865.06	4177	0	7
2023.02.10	17:15:00	1865.03	1866.85	1861.45	1864.22	3494	0	6
2023.02.10	17:30:00	1864.22	1864.75	1861.06	1861.06	2570	0	7
2023.02.10	17:45:00	1861.07	1861.53	1859.03	1860.02	2681	0	7
2023.02.10	18:00:00	1860.01	1861.71	1859.20	1860.14	2360	0	8
2023.02.10	18:15:00	1860.14	1860.57	1857.60	1858.49	2302	0	6
2023.02.10	18:30:00	1858.50	1860.03	1857.85	1858.33	1929	0	8
2023.02.10	18:45:00	1858.33	1858.91	1856.44	1858.22	1829	0	7
2023.02.10	19:00:00	1858.22	1859.61	1857.61	1858.91	1917	0	8
2023.02.10	19:15:00	1858.91	1861.80	1858.76	1861.79	1876	0	8
2023.02.10	19:30:00	1861.79	1863.88	1861.02	1861.14	1698	0	8
2023.02.10	19:45:00	1861.14	1862.19	1860.44	1861.73	1399	0	8
2023.02.10	20:00:00	1861.73	1863.19	1861.27	1862.93	1539	0	8
2023.02.10	20:15:00	1862.91	1864.51	1862.83	1863.22	1669	0	8
2023.02.10	20:30:00	1863.24	1863.33	1861.18	1861.43	1303	0	8
2023.02.10	20:45:00	1861.41	1862.77	1861.26	1862.10	861	0	8
2023.02.10	21:00:00	1862.10	1862.30	1861.37	1862.08	896	0	8
2023.02.10	21:15:00	1862.07	1864.03	1862.07	1863.80	985	0	8
2023.02.10	21:30:00	1863.82	1864.75	1863.65	1864.30	850	0	8
2023.02.10	21:45:00	1864.30	1864.50	1863.18	1863.68	826	0	8
2023.02.10	22:00:00	1863.71	1864.80	1863.36	1864.61	846	0	7
2023.02.10	22:15:00	1864.62	1865.06	1863.40	1863.98	735	0	7
2023.02.10	22:30:00	1863.98	1864.62	1862.71	1864.62	730	0	7
2023.02.10	22:45:00	1864.62	1865.04	1863.94	1864.34	964	0	7
2023.02.10	23:00:00	1864.34	1864.80	1863.21	1864.79	531	0	8
2023.02.10	23:15:00	1864.79	1864.80	1863.86	1863.97	319	0	9
2023.02.10	23:30:00	1863.95	1865.43	1863.78	1865.16	312	0	12
2023.02.10	23:45:00	1865.16	1865.72	1864.62	1865.35	302	0	6
2023.02.13	01:00:00	1864.68	1865.18	1863.89	1864.56	420	0	12
2023.02.13	01:15:00	1864.56	1864.90	1863.30	1863.38	516	0	14
2023.02.13	01:30:00	1863.37	1863.99	1862.70	1863.40	654	0	12
2023.02.13	01:45:00	1863.37	1863.64	1862.66	1862.68	459	0	14
2023.02.13	02:00:00	1862.74	1863.41	1861.47	1861.57	697	0	14
2023.02.13	02:15:00	1861.56	1862.04	1860.64	1861.96	675	0	14
2023.02.13	02:30:00	1861.98	1862.99	1861.49	1861.99	539	0	9
2023.02.13	02:45:00	1862.01	1863.59	1862.01	1863.10	688	0	12
2023.02.13	03:00:00	1863.08	1863.81	1861.15	1861.45	1291	0	7
2023.02.13	03:15:00	1861.47	1861.58	1859.10	1859.23	1305	0	8
2023.02.13	03:30:00	1859.21	1861.69	1858.12	1861.52	1637	0	6
2023.02.13	03:45:00	1861.55	1862.08	1860.14	1861.47	1128	0	8
2023.02.13	04:00:00	1861.47	1862.48	1860.40	1860.96	1362	0	6
2023.02.13	04:15:00	1860.96	1862.03	1860.89	1861.44	683	0	8
2023.02.13	04:30:00	1861.45	1861.65	1859.99	1860.05	777	0	7
2023.02.13	04:45:00	1860.04	1862.30	1859.84	1861.51	878	0	8
2023.02.13	05:00:00	1861.60	1862.11	1860.56	1861.02	856	0	7
2023.02.13	05:15:00	1861.02	1861.56	1860.64	1861.08	850	0	8
2023.02.13	05:30:00	1861.12	1861.20	1860.41	1860.58	637	0	8
2023.02.13	05:45:00	1860.56	1860.60	1858.83	1858.83	700	0	8
2023.02.13	06:00:00	1858.84	1859.68	1858.51	1858.75	629	0	4
2023.02.13	06:15:00	1858.74	1859.08	1858.43	1858.97	475	0	8
2023.02.13	06:30:00	1858.96	1859.15	1857.85	1858.17	417	0	8
2023.02.13	06:45:00	1858.16	1858.59	1857.81	1857.86	414	0	8
2023.02.13	07:00:00	1857.88	1859.28	1857.06	1859.06	813	0	7
