entry_time,exit_time,signal,entry_price,stop_loss,tp1,tp2,tp3,lot_size,risk_usd,outcome,net_pnl,r_multiple,tp1_hit,tp2_hit,bars_held,balance,bias,soft_score
2024-08-13 16:45:00,2024-08-13 17:30:00,long,2472.79,2465.53,2483.68,2490.94,2501.83,0.03,21.78,sl,-23.49,-1.079,False,False,3,9976.51,bullish,2
2024-08-14 09:45:00,2024-08-14 16:15:00,long,2467.32,2462.35,2474.78,2479.75,2487.2,0.05,24.85,sl_after_tp1,-2.84,-0.114,True,False,26,9973.67,bullish,3
2024-08-15 14:30:00,2024-08-15 15:30:00,long,2461.46,2455.92,2469.77,2475.31,2483.62,0.05,27.7,sl_after_tp1,-2.85,-0.103,True,False,4,9970.82,bullish,3
2024-08-16 08:45:00,2024-08-16 10:15:00,long,2455.64,2452.61,2460.18,2463.21,2467.76,0.08,24.24,sl,-28.8,-1.188,False,False,6,9942.02,bullish,3
2024-08-16 13:15:00,2024-08-16 16:45:00,long,2466.06,2457.71,2478.59,2486.93,2499.46,0.03,25.05,tp3,31.69,1.265,True,True,14,9973.71,bullish,3
2024-08-19 06:00:00,2024-08-19 07:45:00,long,2502.51,2499.03,2507.73,2511.21,2516.43,0.07,24.36,sl,-28.35,-1.164,False,False,7,9945.36,bullish,2
2024-08-19 11:15:00,2024-08-19 12:00:00,long,2505.95,2502.05,2511.8,2515.7,2521.55,0.06,23.4,sl,-26.82,-1.146,False,False,3,9918.54,bullish,2
2024-08-29 06:00:00,2024-08-29 15:30:00,long,2512.83,2509.76,2517.43,2520.5,2525.11,0.08,24.56,sl_after_tp2,44.52,1.813,True,True,38,9963.06,bullish,2
2024-08-29 16:15:00,2024-08-30 18:30:00,long,2510.52,2501.99,2523.32,2531.85,2544.64,0.03,25.59,sl_after_tp1,15.36,0.6,True,False,101,9978.42,bullish,2
2024-09-05 06:00:00,2024-09-05 11:15:00,long,2496.76,2492.71,2502.84,2506.89,2512.96,0.06,24.3,tp3,45.21,1.86,True,True,21,10023.63,bullish,2
2024-09-05 11:30:00,2024-09-05 18:00:00,long,2515.03,2506.34,2528.07,2536.76,2549.79,0.03,26.07,sl,-27.78,-1.066,False,False,26,9995.85,bullish,3
2024-09-06 15:45:00,2024-09-06 16:15:00,long,2522.17,2510.53,2539.63,2551.27,2568.73,0.02,23.28,sl,-24.42,-1.049,False,False,2,9971.43,bullish,3
