entry_time,exit_time,signal,entry_price,stop_loss,tp1,tp2,tp3,lot_size,risk_usd,outcome,net_pnl,r_multiple,tp1_hit,tp2_hit,bars_held,balance,bias,soft_score
2025-01-10 16:30:00,2025-01-13 14:00:00,long,2685.82,2675.19,2701.77,2712.4,2728.34,0.02,21.26,sl,-22.4,-1.054,False,False,82,9977.6,bullish,3
2025-01-15 16:30:00,2025-01-16 03:30:00,long,2681.22,2676.4,2688.45,2693.27,2700.5,0.05,24.1,tp3,54.99,2.282,True,True,40,10032.59,bullish,2
2025-01-16 15:45:00,2025-01-17 11:45:00,long,2715.24,2704.21,2731.78,2742.81,2759.36,0.02,22.06,sl,-23.2,-1.052,False,False,76,10009.39,bullish,3
2025-01-20 06:00:00,2025-01-21 16:30:00,long,2703.75,2696.31,2714.91,2722.35,2733.51,0.03,22.32,tp3,28.05,1.257,True,True,124,10037.44,bullish,2
2025-01-21 16:45:00,2025-01-24 04:00:00,long,2738.11,2730.89,2748.94,2756.16,2766.99,0.03,21.66,tp3,27.17,1.254,True,True,225,10064.61,bullish,3
2025-01-28 07:00:00,2025-01-28 09:45:00,long,2743.66,2739.03,2750.6,2755.23,2762.18,0.05,23.15,sl,-26.0,-1.123,False,False,11,10038.61,bullish,3
2025-01-28 11:00:00,2025-01-30 09:00:00,long,2742.79,2736.75,2751.85,2757.89,2766.95,0.04,24.16,tp3,46.04,1.906,True,True,176,10084.65,bullish,2
2025-01-31 13:30:00,2025-02-03 01:15:00,long,2797.12,2791.19,2806.01,2811.94,2820.84,0.04,23.72,sl_after_tp2,45.14,1.903,True,True,43,10129.79,bullish,2
2025-02-03 07:30:00,2025-02-03 10:15:00,long,2783.35,2780.2,2788.07,2791.23,2795.95,0.08,25.2,tp3,45.84,1.819,True,True,11,10175.63,bullish,3
2025-02-03 11:30:00,2025-02-03 16:45:00,long,2798.96,2791.31,2810.44,2818.09,2829.56,0.03,22.95,tp3,28.91,1.26,True,True,21,10204.54,bullish,2
2025-02-04 06:00:00,2025-02-04 07:00:00,long,2819.64,2814.12,2827.92,2833.44,2841.72,0.05,27.6,sl,-30.45,-1.103,False,False,4,10174.09,bullish,2
2025-02-04 11:45:00,2025-02-05 12:30:00,long,2820.09,2806.09,2841.09,2855.09,2876.09,0.02,28.0,tp3,54.86,1.959,True,True,95,10228.95,bullish,2
2025-02-05 15:30:00,2025-02-05 17:45:00,long,2862.27,2858.19,2868.39,2872.47,2878.59,0.06,24.48,tp3,45.54,1.86,True,True,9,10274.49,bullish,2
2025-02-10 08:45:00,2025-02-11 01:30:00,long,2888.23,2880.67,2899.57,2907.13,2918.47,0.03,22.68,tp3,28.53,1.258,True,True,63,10303.02,bullish,3
2025-02-11 07:45:00,2025-02-11 09:15:00,long,2922.9,2912.04,2939.19,2950.05,2966.34,0.02,21.72,sl,-22.86,-1.052,False,False,6,10280.16,bullish,2
2025-02-13 06:00:00,2025-02-13 15:45:00,long,2918.5,2907.29,2935.32,2946.53,2963.34,0.02,22.42,sl,-23.56,-1.051,False,False,39,10256.6,bullish,3
2025-02-20 07:00:00,2025-02-20 15:45:00,long,2942.88,2938.11,2950.04,2954.8,2961.96,0.05,23.85,sl_after_tp2,30.54,1.281,True,True,35,10287.14,bullish,2
2025-02-20 16:45:00,2025-02-21 03:45:00,long,2935.15,2927.2,2947.08,2955.03,2966.95,0.03,23.85,sl_after_tp1,14.2,0.595,True,False,40,10301.34,bullish,2
2025-02-21 07:45:00,2025-02-21 10:00:00,long,2930.21,2924.94,2938.11,2943.39,2951.29,0.05,26.35,sl,-29.2,-1.108,False,False,9,10272.14,bullish,2
2025-02-21 14:30:00,2025-02-21 15:30:00,long,2934.44,2928.82,2942.87,2948.49,2956.92,0.05,28.1,sl,-30.95,-1.101,False,False,4,10241.19,bullish,2
2025-02-24 06:00:00,2025-02-24 12:45:00,long,2940.54,2935.14,2948.64,2954.04,2962.14,0.05,27.0,sl_after_tp1,-2.85,-0.106,True,False,27,10238.34,bullish,2
2025-02-24 13:00:00,2025-02-24 17:00:00,long,2938.74,2931.99,2948.86,2955.62,2965.74,0.04,27.0,sl_after_tp2,51.72,1.916,True,True,16,10290.06,bullish,2
2025-02-26 11:15:00,2025-02-26 12:45:00,long,2915.93,2911.37,2922.77,2927.33,2934.17,0.06,27.36,sl,-30.78,-1.125,False,False,6,10259.28,bullish,2
2025-03-04 10:30:00,2025-03-04 17:00:00,long,2913.74,2902.82,2930.12,2941.04,2957.42,0.02,21.84,sl,-22.98,-1.052,False,False,26,10236.3,bullish,3
2025-03-05 16:45:00,2025-03-06 10:30:00,long,2911.45,2903.27,2923.72,2931.9,2944.17,0.03,24.54,sl_after_tp1,14.65,0.597,True,False,67,10250.95,bullish,2
2025-03-06 13:00:00,2025-03-07 17:00:00,long,2899.81,2892.52,2910.74,2918.03,2928.97,0.04,29.16,tp3,56.02,1.921,True,True,108,10306.97,bullish,2
2025-03-14 06:00:00,2025-03-14 06:45:00,long,2992.63,2986.82,3001.35,3007.15,3015.87,0.04,23.24,sl,-25.52,-1.098,False,False,3,10281.45,bullish,3
2025-03-14 10:15:00,2025-03-14 15:30:00,long,2992.38,2984.27,3004.55,3012.66,3024.82,0.03,24.33,sl_after_tp1,14.52,0.597,True,False,21,10295.97,bullish,3
2025-03-17 11:15:00,2025-03-17 14:15:00,long,2992.71,2987.63,3000.33,3005.41,3013.03,0.05,25.4,sl_after_tp1,-2.85,-0.112,True,False,12,10293.12,bullish,3
2025-03-19 14:45:00,2025-03-19 15:30:00,long,3037.15,3028.4,3050.28,3059.03,3072.15,0.03,26.25,sl,-27.96,-1.065,False,False,3,10265.16,bullish,3
