timestamp,balance
2023-10-02 01:00:00,10000.0
2023-10-09 07:00:00,9972.7
2023-10-10 06:00:00,9945.52
2023-10-13 13:30:00,9999.38
2023-10-16 06:00:00,9970.26
2023-10-16 13:00:00,10025.47
2023-10-20 06:00:00,10060.84
2023-10-23 06:00:00,10036.42
2023-10-30 15:15:00,10006.53
2023-11-02 11:15:00,9977.41
2023-11-10 06:00:00,9947.33
2023-11-14 16:15:00,9987.35
2023-11-17 11:15:00,9959.63
2023-11-17 15:15:00,9930.59
2023-11-21 06:00:00,9903.87
2023-11-21 11:30:00,9953.37
2023-11-21 16:45:00,9928.93
2023-11-22 10:00:00,9900.58
2023-11-22 15:45:00,9871.38
2023-11-28 15:45:00,9931.34
2023-11-29 06:45:00,9903.49
2023-11-29 13:45:00,9932.97
2023-12-04 06:00:00,9910.73
2023-12-04 10:45:00,9882.8
2023-12-12 06:00:00,9914.81
2023-12-14 06:00:00,9944.02
2023-12-22 13:30:00,9947.52
2024-01-02 06:00:00,9919.8
2024-01-09 06:00:00,9889.32
2024-01-09 10:00:00,9891.72
2024-01-12 13:00:00,9940.25
2024-01-15 06:00:00,9914.0
2024-01-26 06:00:00,9885.26
2024-01-30 16:30:00,9859.7
2024-01-31 09:30:00,9906.11
2024-01-31 16:45:00,9877.1
2024-02-02 07:15:00,9849.59
2024-02-15 11:45:00,9898.82
2024-02-19 11:15:00,9873.7
2024-02-20 15:30:00,9849.3
2024-02-22 10:00:00,9822.0
2024-02-22 14:00:00,9792.88
2024-02-26 06:00:00,9766.38
2024-02-29 15:45:00,9826.71
2024-03-05 10:15:00,9880.48
2024-03-06 16:45:00,9856.54
2024-03-08 15:45:00,9838.68
2024-03-21 06:00:00,9811.24
2024-03-25 06:00:00,9786.76
2024-03-28 10:00:00,9834.25
2024-03-28 14:30:00,9875.59
2024-04-01 06:45:00,9852.19
2024-04-01 13:45:00,9824.23
2024-04-02 11:15:00,9797.43
2024-04-03 06:15:00,9772.71
2024-04-03 10:15:00,9811.26
2024-04-08 06:15:00,9790.97
2024-04-08 15:30:00,9836.67
2024-04-09 13:00:00,9806.43
2024-04-12 06:30:00,9870.37
2024-04-16 07:30:00,9847.45
